,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,exists?
1008963,640210,de,17,0.5,Dettmar Cramer (Fußballtrainer),https://de.wikipedia.org/wiki/Dettmar Cramer (Fußballtrainer),,,,,,,,,
1460481,4587615,de,17,0.5,Liste der Monde von Planeten und Zwergplaneten,https://de.wikipedia.org/wiki/Liste der Monde von Planeten und Zwergplaneten,,,,,,,,,
1025564,683385,de,17,0.5,Richard Löwenthal,https://de.wikipedia.org/wiki/Richard Löwenthal,,,,,,,,,
1395171,4368010,de,17,0.5,Chronologie der deutschen Kinder- und Jugendliteratur,https://de.wikipedia.org/wiki/Chronologie der deutschen Kinder- und Jugendliteratur,,,,,,,,,
598951,3571352,de,17,0.5,Venedig des Nordens,https://de.wikipedia.org/wiki/Venedig des Nordens,,,,,,,,,
144360,1858626,de,17,0.5,Thermalquelle,https://de.wikipedia.org/wiki/Thermalquelle,,,,,,,,,
1809918,5997482,de,17,0.5,Homöopathie/Archiv/040,https://de.wikipedia.org/wiki/Homöopathie/Archiv/040,,,,,,,,,
1125507,938992,de,17,0.5,Personal Defence Weapon,https://de.wikipedia.org/wiki/Personal Defence Weapon,,,,,,,,,
2213402,7445370,de,17,0.5,Mann von Kreepen,https://de.wikipedia.org/wiki/Mann von Kreepen,,,,,,,,,
520966,3274404,de,17,0.5,Eisenbahnkaserne (München),https://de.wikipedia.org/wiki/Eisenbahnkaserne (München),,,,,,,,,
1275651,1361934,de,17,0.5,Täter (Strafrecht),https://de.wikipedia.org/wiki/Täter (Strafrecht),,,,,,,,,
1555969,4990919,de,17,0.5,Hubert Moest,https://de.wikipedia.org/wiki/Hubert Moest,,,,,,,,,
812458,190531,de,17,0.5,Wessobrunner Gebet,https://de.wikipedia.org/wiki/Wessobrunner Gebet,,,,,,,,,
1127581,944847,de,17,0.5,Operation Black Buck,https://de.wikipedia.org/wiki/Operation Black Buck,,,,,,,,,
289441,2368794,de,17,0.5,Josef Strauss,https://de.wikipedia.org/wiki/Josef Strauss,,,,,,,,,
2442715,8253559,de,17,0.5,Bahnhof Nischni Nowgorod-Moskowski,https://de.wikipedia.org/wiki/Bahnhof Nischni Nowgorod-Moskowski,,,,,,,,,
888685,349283,de,88,0.9,Rundfunkgebührenstaatsvertrag,https://de.wikipedia.org/wiki/Rundfunkgebührenstaatsvertrag,,,,,,,,,
893377,359142,de,88,0.9,Biomasse,https://de.wikipedia.org/wiki/Biomasse,,,,,,,,,
1136097,966066,de,88,0.9,Methanhydrat,https://de.wikipedia.org/wiki/Methanhydrat,,,,,,,,,
139359,1842751,de,88,0.9,Legionäre Christi,https://de.wikipedia.org/wiki/Legionäre Christi,,,,,,,,,
834090,234652,de,88,0.9,Theremin,https://de.wikipedia.org/wiki/Theremin,,,,,,,,,
1126897,942762,de,88,0.9,Kulturkampf,https://de.wikipedia.org/wiki/Kulturkampf,,,,,,,,,
423622,2910271,de,88,0.9,Wittmund,https://de.wikipedia.org/wiki/Wittmund,,,,,,,,,
