,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges
352160,736943,sv,22,0.9,Holger Blom,https://sv.wikipedia.org/wiki/Holger Blom,,,,,,,,
394105,851350,sv,22,0.9,Bodø,https://sv.wikipedia.org/wiki/Bodø,,,,,,,,
204311,370021,sv,22,0.9,Europarådet,https://sv.wikipedia.org/wiki/Europarådet,,,,,,,,
662364,1669021,sv,22,0.9,Charlotte Wikhall,https://sv.wikipedia.org/wiki/Charlotte Wikhall,,,,,,,,
113378,180590,sv,22,0.9,Pieter Bruegel den äldre,https://sv.wikipedia.org/wiki/Pieter Bruegel den äldre,,,,,,,,
112880,179763,sv,22,0.9,Subjekt–objekt–verb-språk,https://sv.wikipedia.org/wiki/Subjekt–objekt–verb-språk,,,,,,,,
120706,192323,sv,22,0.9,Microsoft,https://sv.wikipedia.org/wiki/Microsoft,,,,,,,,
104639,166609,sv,22,0.9,Aktiv Demokrati,https://sv.wikipedia.org/wiki/Aktiv Demokrati,,,,,,,,
62934,94007,sv,22,0.9,Attila,https://sv.wikipedia.org/wiki/Attila,,,,,,,,
355537,746235,sv,22,0.9,Jurij Slobodkin,https://sv.wikipedia.org/wiki/Jurij Slobodkin,,,,,,,,
202599,365948,sv,22,0.9,Kasus,https://sv.wikipedia.org/wiki/Kasus,,,,,,,,
471124,1068796,sv,22,0.9,Giorgos Papandreou,https://sv.wikipedia.org/wiki/Giorgos Papandreou,,,,,,,,
179750,311260,sv,22,0.9,Pistvakt – En vintersaga,https://sv.wikipedia.org/wiki/Pistvakt – En vintersaga,,,,,,,,
2233485,5056711,sv,22,0.9,Palme,https://sv.wikipedia.org/wiki/Palme,,,,,,,,
2111967,4700029,sv,22,0.9,Brasse Brännström,https://sv.wikipedia.org/wiki/Brasse Brännström,,,,,,,,
145829,239874,sv,22,0.9,Ren,https://sv.wikipedia.org/wiki/Ren,,,,,,,,
159385,266971,sv,22,0.9,Täby,https://sv.wikipedia.org/wiki/Täby,,,,,,,,
357696,751732,sv,22,0.9,Guangzhou,https://sv.wikipedia.org/wiki/Guangzhou,,,,,,,,
94262,149350,sv,22,0.9,Flashback Media Group,https://sv.wikipedia.org/wiki/Flashback Media Group,,,,,,,,
242009,461104,sv,22,0.9,Snel hest,https://sv.wikipedia.org/wiki/Snel hest,,,,,,,,
323754,658039,sv,22,0.9,Svenska Fredskommittén,https://sv.wikipedia.org/wiki/Svenska Fredskommittén,,,,,,,,
62525,93329,sv,22,0.9,Fouriertransform,https://sv.wikipedia.org/wiki/Fouriertransform,,,,,,,,
473140,1074610,sv,22,0.9,Matfotografi,https://sv.wikipedia.org/wiki/Matfotografi,,,,,,,,
1872452,4014072,sv,22,0.9,"Tärna socken, Lappland","https://sv.wikipedia.org/wiki/Tärna socken, Lappland",,,,,,,,
