,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,notes
258734,819708,fa,6,0.55,پاراسلسوس,https://fa.wikipedia.org/wiki/پاراسلسوس,,,,,,,,,
122009,391237,fa,6,0.55,کرن (ابهام‌زدایی),https://fa.wikipedia.org/wiki/کرن (ابهام‌زدایی),,,,,,,,,
11063,27718,fa,6,0.55,استان کبک,https://fa.wikipedia.org/wiki/استان کبک,,,,,,,,,
274477,838936,fa,6,0.55,رهبری کاریزماتیک,https://fa.wikipedia.org/wiki/رهبری کاریزماتیک,,,,,,,,,
6017,15477,fa,28,0.9,سیاوش,https://fa.wikipedia.org/wiki/سیاوش,,,,,,,,,
7814,20029,fa,28,0.9,زینب بنت جحش,https://fa.wikipedia.org/wiki/زینب بنت جحش,,,,,,,,,
8750,21756,fa,28,0.9,فریدون‌شهر,https://fa.wikipedia.org/wiki/فریدون‌شهر,,,,,,,,,
11192,28140,fa,28,0.9,پایگاه داده‌ها,https://fa.wikipedia.org/wiki/پایگاه داده‌ها,,,,,,,,,
11950,30813,fa,28,0.9,زهرا کاظمی,https://fa.wikipedia.org/wiki/زهرا کاظمی,,,,,,,,,
12012,30998,fa,28,0.9,سورن کی یرکگور,https://fa.wikipedia.org/wiki/سورن کی یرکگور,,,,,,,,,
13082,34464,fa,28,0.9,ابوحنیفه نعمان بن ثابت,https://fa.wikipedia.org/wiki/ابوحنیفه نعمان بن ثابت,,,,,,,,,
14948,40711,fa,28,0.9,رشت,https://fa.wikipedia.org/wiki/رشت,,,,,,,,,
14974,40767,fa,28,0.9,فلسفه,https://fa.wikipedia.org/wiki/فلسفه,,,,,,,,,
16287,45982,fa,28,0.9,محسن اراکی,https://fa.wikipedia.org/wiki/محسن اراکی,,,,,,,,,
19812,57394,fa,28,0.9,زدبازی,https://fa.wikipedia.org/wiki/زدبازی,,,,,,,,,
23735,69342,fa,28,0.9,زبان ایتالیایی,https://fa.wikipedia.org/wiki/زبان ایتالیایی,,,,,,,,,
29334,99878,fa,28,0.9,امیرعباس هویدا,https://fa.wikipedia.org/wiki/امیرعباس هویدا,,,,,,,,,
33790,139871,fa,28,0.9,شهرستان‌های ایران,https://fa.wikipedia.org/wiki/شهرستان‌های ایران,,,,,,,,,
38867,156107,fa,28,0.9,جزیره ابوموسی,https://fa.wikipedia.org/wiki/جزیره ابوموسی,,,,,,,,,
40163,160384,fa,28,0.9,حملات ۱۱ سپتامبر,https://fa.wikipedia.org/wiki/حملات ۱۱ سپتامبر,,,,,,,,,
40519,161671,fa,28,0.9,فهرست بی‌خدایان,https://fa.wikipedia.org/wiki/فهرست بی‌خدایان,,,,,,,,,
44131,173020,fa,28,0.9,انجیل برنابا,https://fa.wikipedia.org/wiki/انجیل برنابا,,,,,,,,,
45796,178283,fa,28,0.9,کرمان,https://fa.wikipedia.org/wiki/کرمان,,,,,,,,,
47731,185076,fa,28,0.9,عماد مغنیه,https://fa.wikipedia.org/wiki/عماد مغنیه,,,,,,,,,
53366,207652,fa,28,0.9,ان کولتر,https://fa.wikipedia.org/wiki/ان کولتر,,,,,,,,,
56621,216561,fa,28,0.9,اتانازی,https://fa.wikipedia.org/wiki/اتانازی,,,,,,,,,
57317,218489,fa,28,0.9,قاضی مرتضوی,https://fa.wikipedia.org/wiki/قاضی مرتضوی,,,,,,,,,
63711,237833,fa,28,0.9,کتاب مقدس,https://fa.wikipedia.org/wiki/کتاب مقدس,,,,,,,,,
67218,249555,fa,28,0.9,گلشیفته فراهانی,https://fa.wikipedia.org/wiki/گلشیفته فراهانی,,,,,,,,,
84083,302791,fa,28,0.9,تناسخ,https://fa.wikipedia.org/wiki/تناسخ,,,,,,,,,
89595,319834,fa,28,0.9,مبارزه با بریدن آلت تناسلی زنان,https://fa.wikipedia.org/wiki/مبارزه با بریدن آلت تناسلی زنان,,,,,,,,,
96055,345450,fa,28,0.9,مسعود ده‌نمکی,https://fa.wikipedia.org/wiki/مسعود ده‌نمکی,,,,,,,,,
96132,345685,fa,28,0.9,رأی من کجاست؟,https://fa.wikipedia.org/wiki/رأی من کجاست؟,,,,,,,,,
98304,351299,fa,28,0.9,مهبل,https://fa.wikipedia.org/wiki/مهبل,,,,,,,,,
100521,358795,fa,28,0.9,مارینا نعمت,https://fa.wikipedia.org/wiki/مارینا نعمت,,,,,,,,,
121315,389520,fa,28,0.9,قلمرو بهشت (فیلم),https://fa.wikipedia.org/wiki/قلمرو بهشت (فیلم),,,,,,,,,
135151,437711,fa,28,0.9,مصطفی کمال آتاترک,https://fa.wikipedia.org/wiki/مصطفی کمال آتاترک,,,,,,,,,
152642,498686,fa,28,0.9,تولدی دیگر (کتاب شجاع‌الدین شفا),https://fa.wikipedia.org/wiki/تولدی دیگر (کتاب شجاع‌الدین شفا),,,,,,,,,
156325,509903,fa,28,0.9,اندروید,https://fa.wikipedia.org/wiki/اندروید,,,,,,,,,
156786,510389,fa,28,0.9,استان قزوین,https://fa.wikipedia.org/wiki/استان قزوین,,,,,,,,,
