,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,Notes
248708,532475,ca,16,0.51,Diputats i consellers de la Diputació del General,https://ca.wikipedia.org/wiki/Diputats i consellers de la Diputació del General,,,,,,,,,
255966,549094,ca,16,0.51,La cabina,https://ca.wikipedia.org/wiki/La cabina,,,,,,,,,
259796,558520,ca,16,0.51,Ar-Razí,https://ca.wikipedia.org/wiki/Ar-Razí,,,,,,,,,
302738,660693,ca,16,0.51,Pelatge dels cavalls,https://ca.wikipedia.org/wiki/Pelatge dels cavalls,,,,,,,,,
339982,720350,ca,16,0.51,Josep Ibarz i Gilart,https://ca.wikipedia.org/wiki/Josep Ibarz i Gilart,,,,,,,,,
345783,734291,ca,16,0.51,Associació Lliure de Sindicats d'Alemanya,https://ca.wikipedia.org/wiki/Associació Lliure de Sindicats d'Alemanya,,,,,,,,,
348632,742933,ca,16,0.51,Stephen Jay Gould,https://ca.wikipedia.org/wiki/Stephen Jay Gould,,,,,,,,,
369155,799263,ca,16,0.51,Micromecenatge,https://ca.wikipedia.org/wiki/Micromecenatge,,,,,,,,,
393387,849189,ca,16,0.51,Llista de monuments del Vallès Oriental,https://ca.wikipedia.org/wiki/Llista de monuments del Vallès Oriental,,,,,,,,,
417693,903926,ca,16,0.51,Sistema Integrat d'Interceptació de Telecomunicacions,https://ca.wikipedia.org/wiki/Sistema Integrat d'Interceptació de Telecomunicacions,,,,,,,,,
421447,913496,ca,16,0.51,Llista de monuments del Baix Llobregat,https://ca.wikipedia.org/wiki/Llista de monuments del Baix Llobregat,,,,,,,,,
423099,918242,ca,16,0.51,Pilar de 6,https://ca.wikipedia.org/wiki/Pilar de 6,,,,,,,,,
426795,929276,ca,16,0.51,Darreries,https://ca.wikipedia.org/wiki/Darreries,,,,,,,,,
427747,932159,ca,16,0.51,Cooperativa Obrera Mataronesa,https://ca.wikipedia.org/wiki/Cooperativa Obrera Mataronesa,,,,,,,,,
430388,940391,ca,16,0.51,Quars,https://ca.wikipedia.org/wiki/Quars,,,,,,,,,
431028,942068,ca,16,0.51,Llista de còmics de Mortadel·lo i Filemó,https://ca.wikipedia.org/wiki/Llista de còmics de Mortadel·lo i Filemó,,,,,,,,,
443794,978133,ca,16,0.51,Mites i falses creences de la pràctica física,https://ca.wikipedia.org/wiki/Mites i falses creences de la pràctica física,,,,,,,,,
452406,1001159,ca,16,0.51,Centre d'Atenció Primària Bages,https://ca.wikipedia.org/wiki/Centre d'Atenció Primària Bages,,,,,,,,,
459081,1018819,ca,16,0.51,Homosexualitat a Andorra,https://ca.wikipedia.org/wiki/Homosexualitat a Andorra,,,,,,,,,
465785,1037259,ca,16,0.51,Pornografia infantil,https://ca.wikipedia.org/wiki/Pornografia infantil,,,,,,,,,
466073,1038152,ca,16,0.51,Llista de monuments de Berga,https://ca.wikipedia.org/wiki/Llista de monuments de Berga,,,,,,,,,
471519,1054769,ca,16,0.51,Jordi Cañas Pérez,https://ca.wikipedia.org/wiki/Jordi Cañas Pérez,,,,,,,,,
473051,1059209,ca,16,0.51,Sebastià Bosom i Isern,https://ca.wikipedia.org/wiki/Sebastià Bosom i Isern,,,,,,,,,
474577,1063538,ca,16,0.51,Llista de l'art públic de Barcelona,https://ca.wikipedia.org/wiki/Llista de l'art públic de Barcelona,,,,,,,,,
492377,1113693,ca,16,0.51,Joan Mateu i Bagaria,https://ca.wikipedia.org/wiki/Joan Mateu i Bagaria,,,,,,,,,
500165,1136001,ca,16,0.51,Senyeres catalanes,https://ca.wikipedia.org/wiki/Senyeres catalanes,,,,,,,,,
504296,1149333,ca,16,0.51,Tsureki,https://ca.wikipedia.org/wiki/Tsureki,,,,,,,,,
535816,1241978,ca,16,0.51,Agrupació de Defensa Forestal,https://ca.wikipedia.org/wiki/Agrupació de Defensa Forestal,,,,,,,,,
535980,1242386,ca,16,0.51,Adenoviridae,https://ca.wikipedia.org/wiki/Adenoviridae,,,,,,,,,
536405,1243752,ca,16,0.51,Parvovirus porcí,https://ca.wikipedia.org/wiki/Parvovirus porcí,,,,,,,,,
561282,1311262,ca,16,0.51,Catedral de Segòvia,https://ca.wikipedia.org/wiki/Catedral de Segòvia,,,,,,,,,
574651,1345300,ca,16,0.51,Llista d'obres de Jacob van Ruisdael,https://ca.wikipedia.org/wiki/Llista d'obres de Jacob van Ruisdael,,,,,,,,,
96060,195036,ca,17,0.53,Montblanc (Erau),https://ca.wikipedia.org/wiki/Montblanc (Erau),,,,,,,,,
4677,7155,ca,17,0.53,Sóller,https://ca.wikipedia.org/wiki/Sóller,,,,,,,,,
20811,44402,ca,17,0.53,Calendari musulmà,https://ca.wikipedia.org/wiki/Calendari musulmà,,,,,,,,,
70668,146915,ca,17,0.53,The Beatles,https://ca.wikipedia.org/wiki/The Beatles,,,,,,,,,
509186,1165196,ca,17,0.53,L'Esquirol,https://ca.wikipedia.org/wiki/L'Esquirol,,,,,,,,,
135977,287436,ca,17,0.53,País Valencià/PMF,https://ca.wikipedia.org/wiki/País Valencià/PMF,,,,,,,,,
8514,16814,ca,46,0.9,Castella,https://ca.wikipedia.org/wiki/Castella,,,,,,,,,
13264,27175,ca,46,0.9,Flexió verbal del català,https://ca.wikipedia.org/wiki/Flexió verbal del català,,,,,,,,,
14660,30848,ca,46,0.9,Edat mitjana,https://ca.wikipedia.org/wiki/Edat mitjana,,,,,,,,,
36422,76746,ca,46,0.9,Comtats catalans,https://ca.wikipedia.org/wiki/Comtats catalans,,,,,,,,,
39042,82014,ca,46,0.9,Decrets de Nova Planta,https://ca.wikipedia.org/wiki/Decrets de Nova Planta,,,,,,,,,
39710,83239,ca,46,0.9,Vall d'Aran,https://ca.wikipedia.org/wiki/Vall d'Aran,,,,,,,,,
438993,964885,ca,46,0.9,Associació de Municipis per la Independència,https://ca.wikipedia.org/wiki/Associació de Municipis per la Independència,,,,,,,,,
447298,987399,ca,46,0.9,Descoberta i conquesta catalana d'Amèrica,https://ca.wikipedia.org/wiki/Descoberta i conquesta catalana d'Amèrica,,,,,,,,,
16595,35474,ca,47,0.9,Testimonis de Jehovà,https://ca.wikipedia.org/wiki/Testimonis de Jehovà,,,,,,,,,
18842,40629,ca,47,0.9,Xàtiva,https://ca.wikipedia.org/wiki/Xàtiva,,,,,,,,,
20634,44080,ca,47,0.9,Murcià,https://ca.wikipedia.org/wiki/Murcià,,,,,,,,,
46018,96127,ca,47,0.9,Segona Guerra Mundial,https://ca.wikipedia.org/wiki/Segona Guerra Mundial,,,,,,,,,
47724,98665,ca,47,0.9,Salvador Dalí i Domènech,https://ca.wikipedia.org/wiki/Salvador Dalí i Domènech,,,,,,,,,
115113,245999,ca,47,0.9,Conquesta de Mallorca,https://ca.wikipedia.org/wiki/Conquesta de Mallorca,,,,,,,,,
152617,325384,ca,47,0.9,Gastronomia dels Països Catalans,https://ca.wikipedia.org/wiki/Gastronomia dels Països Catalans,,,,,,,,,
440281,968277,ca,47,0.9,Llista de monuments de Terrassa,https://ca.wikipedia.org/wiki/Llista de monuments de Terrassa,,,,,,,,,
93244,190075,ca,48,0.9,Català tortosí,https://ca.wikipedia.org/wiki/Català tortosí,,,,,,,,,
96210,195347,ca,48,0.9,Salvador Sostres i Tarrida,https://ca.wikipedia.org/wiki/Salvador Sostres i Tarrida,,,,,,,,,
150621,320837,ca,48,0.9,Quim Monzó,https://ca.wikipedia.org/wiki/Quim Monzó,,,,,,,,,
269230,579605,ca,48,0.9,Urani,https://ca.wikipedia.org/wiki/Urani,,,,,,,,,
393946,849800,ca,48,0.9,El gran dia de Girona,https://ca.wikipedia.org/wiki/El gran dia de Girona,,,,,,,,,
538845,1250342,ca,48,0.9,Eleccions al Parlament de Catalunya de 2015,https://ca.wikipedia.org/wiki/Eleccions al Parlament de Catalunya de 2015,,,,,,,,,
8291,16212,ca,49,0.91,Regne de València,https://ca.wikipedia.org/wiki/Regne de València,,,,,,,,,
9658,19351,ca,49,0.91,Opus Dei,https://ca.wikipedia.org/wiki/Opus Dei,,,,,,,,,
67934,140416,ca,49,0.91,One Piece,https://ca.wikipedia.org/wiki/One Piece,,,,,,,,,
167479,355380,ca,50,0.91,Mercè Rodoreda i Gurguí,https://ca.wikipedia.org/wiki/Mercè Rodoreda i Gurguí,,,,,,,,,
450287,995035,ca,50,0.91,Llista de pedòfils,https://ca.wikipedia.org/wiki/Llista de pedòfils,,,,,,,,,
534065,1237113,ca,50,0.91,Virus de la diarrea viral bovina,https://ca.wikipedia.org/wiki/Virus de la diarrea viral bovina,,,,,,,,,
551996,1284980,ca,50,0.91,Portada/3,https://ca.wikipedia.org/wiki/Portada/3,,,,,,,,,
581521,1361002,ca,50,0.91,Virus de l'hepatitis E,https://ca.wikipedia.org/wiki/Virus de l'hepatitis E,,,,,,,,,
462436,1027662,ca,51,0.91,Llista de monuments de Tortosa (ciutat),https://ca.wikipedia.org/wiki/Llista de monuments de Tortosa (ciutat),,,,,,,,,
501705,1141418,ca,51,0.91,Bandera d'Ohio,https://ca.wikipedia.org/wiki/Bandera d'Ohio,,,,,,,,,
503252,1146837,ca,51,0.91,Virus de la immunodeficiència felina,https://ca.wikipedia.org/wiki/Virus de la immunodeficiència felina,,,,,,,,,
14604,30731,ca,52,0.91,Paella d'arròs,https://ca.wikipedia.org/wiki/Paella d'arròs,,,,,,,,,
22626,48293,ca,52,0.91,Candidatura d'Unitat Popular,https://ca.wikipedia.org/wiki/Candidatura d'Unitat Popular,,,,,,,,,
191489,411253,ca,52,0.91,Amfibi,https://ca.wikipedia.org/wiki/Amfibi,,,,,,,,,
471686,1055234,ca,52,0.91,Inhibició de l'hemaglutinació viral,https://ca.wikipedia.org/wiki/Inhibició de l'hemaglutinació viral,,,,,,,,,
27450,58148,ca,53,0.92,Metro de Barcelona,https://ca.wikipedia.org/wiki/Metro de Barcelona,,,,,,,,,
31421,66090,ca,53,0.92,Sabadell,https://ca.wikipedia.org/wiki/Sabadell,,,,,,,,,
89868,183945,ca,53,0.92,Santa María (nau),https://ca.wikipedia.org/wiki/Santa María (nau),,,,,,,,,
239697,513670,ca,53,0.92,Fonologia del català,https://ca.wikipedia.org/wiki/Fonologia del català,,,,,,,,,
483560,1088350,ca,53,0.92,Jaume Nonell Juncosa,https://ca.wikipedia.org/wiki/Jaume Nonell Juncosa,,,,,,,,,
8143,15891,ca,54,0.92,Regió de Múrcia,https://ca.wikipedia.org/wiki/Regió de Múrcia,,,,,,,,,
9255,17981,ca,54,0.92,Baix Segura,https://ca.wikipedia.org/wiki/Baix Segura,,,,,,,,,
75083,155997,ca,54,0.92,Vicente Yáñez Pinzón,https://ca.wikipedia.org/wiki/Vicente Yáñez Pinzón,,,,,,,,,
101606,205506,ca,54,0.92,Francisco de Goya y Lucientes,https://ca.wikipedia.org/wiki/Francisco de Goya y Lucientes,,,,,,,,,
128844,271753,ca,54,0.92,Independència de Kosovo,https://ca.wikipedia.org/wiki/Independència de Kosovo,,,,,,,,,
189286,406647,ca,54,0.92,Lunfardo,https://ca.wikipedia.org/wiki/Lunfardo,,,,,,,,,
371089,804864,ca,54,0.92,Justin Bieber,https://ca.wikipedia.org/wiki/Justin Bieber,,,,,,,,,
491950,1112614,ca,54,0.92,Llista d'egiptòlegs,https://ca.wikipedia.org/wiki/Llista d'egiptòlegs,,,,,,,,,
503135,1146349,ca,54,0.92,Virus de la pesta porcina africana,https://ca.wikipedia.org/wiki/Virus de la pesta porcina africana,,,,,,,,,
5178,8476,ca,55,0.92,Alfons el Cast,https://ca.wikipedia.org/wiki/Alfons el Cast,,,,,,,,,
8405,16425,ca,55,0.92,Província d'Alacant,https://ca.wikipedia.org/wiki/Província d'Alacant,,,,,,,,,
9426,18741,ca,55,0.92,Perpinyà,https://ca.wikipedia.org/wiki/Perpinyà,,,,,,,,,
