,page_id,lang,len,quantile,title,url,templating,index_box,heading,posts,unique_authors,depth,archive,exchanges,unsigned? ,notes
38032,99135,ko,9,0.5,이원집정부제,https://ko.wikipedia.org/wiki/이원집정부제,,,,,,,,,,
63309,161152,ko,9,0.5,카운터-스트라이크,https://ko.wikipedia.org/wiki/카운터-스트라이크,,,,,,,,,,
114400,296415,ko,9,0.5,악양루 (중국),https://ko.wikipedia.org/wiki/악양루 (중국),,,,,,,,,,
81636,208460,ko,9,0.5,프레임 (인식의 방법),https://ko.wikipedia.org/wiki/프레임 (인식의 방법),,,,,,,,,,
60346,154480,ko,9,0.5,안소희,https://ko.wikipedia.org/wiki/안소희,,,,,,,,,,
99546,257784,ko,9,0.5,희극 배우,https://ko.wikipedia.org/wiki/희극 배우,,,,,,,,,,
21827,54994,ko,9,0.5,현대 유니콘스,https://ko.wikipedia.org/wiki/현대 유니콘스,,,,,,,,,,
381412,1194695,ko,9,0.5,에드몽 파리,https://ko.wikipedia.org/wiki/에드몽 파리,,,,,,,,,,
335236,1002563,ko,9,0.5,민중 민주 (운동권),https://ko.wikipedia.org/wiki/민중 민주 (운동권),,,,,,,,,,
274843,807580,ko,9,0.5,테일러 로트너,https://ko.wikipedia.org/wiki/테일러 로트너,,,,,,,,,,
80031,203856,ko,9,0.5,자본론,https://ko.wikipedia.org/wiki/자본론,,,,,,,,,,
317829,939481,ko,9,0.5,소련군,https://ko.wikipedia.org/wiki/소련군,,,,,,,,,,
34628,91119,ko,9,0.5,미국 드라마 목록,https://ko.wikipedia.org/wiki/미국 드라마 목록,,,,,,,,,,
39512,103053,ko,9,0.5,펌프 잇 업,https://ko.wikipedia.org/wiki/펌프 잇 업,,,,,,,,,,
53616,138103,ko,9,0.5,지다 (축구 선수),https://ko.wikipedia.org/wiki/지다 (축구 선수),,,,,,,,,,
119617,308960,ko,9,0.5,중부내륙고속도로지선,https://ko.wikipedia.org/wiki/중부내륙고속도로지선,,,,,,,,,,
75300,191016,ko,9,0.5,수페르리가 엘라다,https://ko.wikipedia.org/wiki/수페르리가 엘라다,,,,,,,,,,
422179,1395667,ko,9,0.5,서울세종고속도로,https://ko.wikipedia.org/wiki/서울세종고속도로,,,,,,,,,,
32173,83982,ko,9,0.5,마초 (촉한),https://ko.wikipedia.org/wiki/마초 (촉한),,,,,,,,,,
198565,559025,ko,9,0.5,윈도우 설치,https://ko.wikipedia.org/wiki/윈도우 설치,,,,,,,,,,
393672,1254215,ko,9,0.5,존 버넌 매기,https://ko.wikipedia.org/wiki/존 버넌 매기,,,,,,,,,,
84492,217629,ko,9,0.5,타이 바트,https://ko.wikipedia.org/wiki/타이 바트,,,,,,,,,,
19555,48047,ko,9,0.5,고대 그리스,https://ko.wikipedia.org/wiki/고대 그리스,,,,,,,,,,
210572,601821,ko,9,0.5,수원시시설관리공단 여자 축구단,https://ko.wikipedia.org/wiki/수원시시설관리공단 여자 축구단,,,,,,,,,,
10621,21928,ko,9,0.5,타이탄 (위성),https://ko.wikipedia.org/wiki/타이탄 (위성),,,,,,,,,,
53775,138424,ko,9,0.5,다나카 마르쿠스 툴리오,https://ko.wikipedia.org/wiki/다나카 마르쿠스 툴리오,,,,,,,,,,
16631,41246,ko,9,0.5,대수의 이름,https://ko.wikipedia.org/wiki/대수의 이름,,,,,,,,,,
26328,67861,ko,9,0.5,1기 지하철,https://ko.wikipedia.org/wiki/1기 지하철,,,,,,,,,,
125793,325934,ko,9,0.5,MBC 뉴스데스크,https://ko.wikipedia.org/wiki/MBC 뉴스데스크,,,,,,,,,,
287312,844542,ko,9,0.5,김성태 (1910년),https://ko.wikipedia.org/wiki/김성태 (1910년),,,,,,,,,,
76679,194956,ko,9,0.5,Wii,https://ko.wikipedia.org/wiki/Wii,,,,,,,,,,
15731,39327,ko,61,0.9,반크,https://ko.wikipedia.org/wiki/반크,,,,,,,,,,
20848,51222,ko,61,0.9,짱구는 못말려,https://ko.wikipedia.org/wiki/짱구는 못말려,,,,,,,,,,
139780,362433,ko,61,0.9,웹 게임,https://ko.wikipedia.org/wiki/웹 게임,,,,,,,,,,
165959,445180,ko,61,0.9,현제명,https://ko.wikipedia.org/wiki/현제명,,,,,,,,,,
269262,792901,ko,61,0.9,이석기 (1962년),https://ko.wikipedia.org/wiki/이석기 (1962년),,,,,,,,,,
399039,1287158,ko,61,0.9,한약사/보존문서1,https://ko.wikipedia.org/wiki/한약사/보존문서1,,,,,,,,,,
119277,308080,ko,62,0.9,인천광역시의 시내버스/보존 1,https://ko.wikipedia.org/wiki/인천광역시의 시내버스/보존 1,,,,,,,,,,
120044,310121,ko,62,0.9,타이완어,https://ko.wikipedia.org/wiki/타이완어,,,,,,,,,,
248827,724005,ko,62,0.9,"민주당 (대한민국, 2011년)","https://ko.wikipedia.org/wiki/민주당 (대한민국, 2011년)",,,,,,,,,,
261200,766130,ko,62,0.9,개혁국민신당,https://ko.wikipedia.org/wiki/개혁국민신당,,,,,,,,,,
330082,983299,ko,62,0.9,단월드,https://ko.wikipedia.org/wiki/단월드,,,,,,,,,,
15062,36259,ko,63,0.9,짜장면,https://ko.wikipedia.org/wiki/짜장면,,,,,,,,,,
82404,210453,ko,63,0.9,아이오딘,https://ko.wikipedia.org/wiki/아이오딘,,,,,,,,,,
421133,1391341,ko,63,0.9,2015년 11월 대한민국 민중총궐기,https://ko.wikipedia.org/wiki/2015년 11월 대한민국 민중총궐기,,,,,,,,,,
54755,141293,ko,64,0.9,역사적 예수,https://ko.wikipedia.org/wiki/역사적 예수,,,,,,,,,,
106725,276133,ko,64,0.9,경춘선/보존문서1,https://ko.wikipedia.org/wiki/경춘선/보존문서1,,,,,,,,,,
111541,289014,ko,64,0.9,파시즘,https://ko.wikipedia.org/wiki/파시즘,,,,,,,,,,
111709,289467,ko,64,0.9,용산4구역 철거현장 화재 사건,https://ko.wikipedia.org/wiki/용산4구역 철거현장 화재 사건,,,,,,,,,,
119305,308136,ko,64,0.9,중부고속도로,https://ko.wikipedia.org/wiki/중부고속도로,,,,,,,,,,
144250,375983,ko,64,0.9,포서즈 시스템,https://ko.wikipedia.org/wiki/포서즈 시스템,,,,,,,,,,
162315,433609,ko,64,0.9,일본,https://ko.wikipedia.org/wiki/일본,,,,,,,,,,
204340,578051,ko,64,0.9,백기완,https://ko.wikipedia.org/wiki/백기완,,,,,,,,,,
402354,1302243,ko,64,0.9,중동호흡기증후군,https://ko.wikipedia.org/wiki/중동호흡기증후군,,,,,,,,,,
21828,54995,ko,65,0.9,SK 와이번스,https://ko.wikipedia.org/wiki/SK 와이번스,,,,,,,,,,
24000,60975,ko,65,0.9,쥐,https://ko.wikipedia.org/wiki/쥐,,,,,,,,,,
26480,68277,ko,65,0.9,한사군,https://ko.wikipedia.org/wiki/한사군,,,,,,,,,,
113226,293557,ko,65,0.9,캐넌,https://ko.wikipedia.org/wiki/캐넌,,,,,,,,,,
358218,1089374,ko,65,0.9,성재기 (활동가),https://ko.wikipedia.org/wiki/성재기 (활동가),,,,,,,,,,
5974,11105,ko,66,0.9,대한제국 고종,https://ko.wikipedia.org/wiki/대한제국 고종,,,,,,,,,,
